ra,ano_pesquisa,fase,turma,genero,idade,ano_ingresso,instituicao_ensino,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,indicado_bolsa,atingiu_pv,fase_ideal,defasagem,rec_psicologia,cg,cf,ct,n_avaliacoes,destaque_ieg,destaque_ida,destaque_ipv,fase_norm,fase_ord,pedra_ord
RA-1,2022,7,A,Feminino,19.0,2016,Escola Pública,Quartzo,5.783,8.3,4.1,5.6,,4.0,7.278,5.0,2.7,3.5,6.0,True,False,Fase 8 (Universitários),-1,Requer avaliação,753.0,18.0,10.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-2,2022,7,A,Feminino,17.0,2017,Rede Decisão,Ametista,7.055,8.8,5.2,6.3,,6.8,6.778,10.0,6.3,4.5,9.7,False,False,Fase 7 (3º EM),0,Sem limitações,469.0,8.0,3.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-3,2022,7,A,Feminino,17.0,2016,Rede Decisão,Ágata,6.591,0.0,7.9,5.6,,5.6,7.556,10.0,5.8,4.0,6.9,False,False,Fase 7 (3º EM),0,Sem limitações,629.0,13.0,6.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,2.0
RA-4,2022,7,A,Masculino,17.0,2017,Rede Decisão,Quartzo,5.951,8.8,4.5,5.6,,5.0,5.278,10.0,2.8,3.5,8.7,False,False,Fase 7 (3º EM),0,Requer avaliação,731.0,15.0,7.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-5,2022,7,A,Feminino,17.0,2016,Rede Decisão,Ametista,7.427,7.9,8.6,5.6,,5.2,7.389,10.0,7.0,2.9,5.7,False,False,Fase 7 (3º EM),0,Requer avaliação,344.0,6.0,2.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-6,2022,7,A,Feminino,18.0,2021,Escola Pública,Quartzo,5.848,7.9,4.5,7.5,,3.3,7.222,5.0,2.3,5.3,2.3,True,False,Fase 8 (Universitários),-1,Sem limitações,745.0,16.0,8.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-7,2022,7,A,Masculino,18.0,2017,Rede Decisão,Ágata,6.818,0.0,8.4,7.5,,7.6,7.667,5.0,8.2,5.7,9.0,False,False,Fase 8 (Universitários),-1,Sem limitações,550.0,11.0,5.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,2.0
RA-8,2022,7,A,Feminino,20.0,2018,Escola Pública,Quartzo,4.786,7.1,4.6,6.3,,1.6,6.278,5.0,1.2,0.7,2.9,False,False,Fase 8 (Universitários),-1,Requer avaliação,836.0,21.0,13.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-9,2022,7,A,Feminino,18.0,2019,Escola Pública,Topázio,8.109,8.8,9.5,7.5,,6.7,9.5,5.0,5.5,6.0,8.7,True,True,Fase 8 (Universitários),-1,Sem limitações,113.0,1.0,1.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,4.0
RA-10,2022,7,A,Feminino,18.0,2021,Escola Pública,Quartzo,5.784,8.3,5.2,5.0,,4.1,7.056,5.0,3.3,2.6,6.4,False,False,Fase 8 (Universitários),-1,Requer avaliação,752.0,17.0,9.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-11,2022,7,A,Feminino,18.0,2016,Escola Pública,Quartzo,5.323,9.2,4.2,5.0,,3.0,6.389,5.0,1.8,2.5,4.5,False,False,Fase 8 (Universitários),-1,Requer avaliação,799.0,19.0,11.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-12,2022,7,A,Feminino,17.0,2020,Escola Pública,Quartzo,4.832,0.0,4.0,6.9,,1.5,6.389,10.0,2.7,1.1,0.7,True,False,Fase 7 (3º EM),0,Sem limitações,834.0,20.0,12.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-13,2022,7,A,Masculino,18.0,2016,Escola Pública,Ágata,6.902,7.9,7.4,7.5,,4.7,8.056,5.0,3.5,5.5,5.2,True,False,Fase 8 (Universitários),-1,Sem limitações,524.0,10.0,4.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,2.0
RA-14,2022,7,D,Masculino,21.0,2022,Escola Pública,Ágata,6.793,7.9,8.3,7.5,,4.0,7.75,5.0,8.0,0.0,,True,False,Fase 8 (Universitários),-1,Não atendido,558.0,12.0,7.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,2.0
RA-15,2022,7,D,Masculino,18.0,2022,Escola Pública,Ametista,7.783,8.8,10.0,7.5,,7.3,7.292,5.0,8.0,6.5,,True,False,Fase 8 (Universitários),-1,Não atendido,207.0,3.0,2.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-16,2022,7,D,Masculino,19.0,2022,Escola Pública,Ágata,6.112,7.9,8.3,5.0,,3.5,6.333,5.0,7.0,0.0,,True,False,Fase 8 (Universitários),-1,Requer avaliação,706.0,14.0,8.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,2.0
RA-17,2022,7,D,Masculino,20.0,2022,Escola Pública,Topázio,8.068,8.8,10.0,7.5,,7.8,8.292,5.0,9.0,6.5,,True,False,Fase 8 (Universitários),-1,Não atendido,125.0,2.0,1.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,4.0
RA-18,2022,7,D,Masculino,19.0,2022,Escola Pública,Ametista,7.226,6.3,8.7,6.3,,9.0,6.875,5.0,9.0,9.0,,True,False,Fase 8 (Universitários),-1,Requer avaliação,418.0,7.0,5.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-19,2022,7,D,Feminino,19.0,2022,Escola Pública,Ametista,7.665,7.9,9.5,7.5,,8.0,7.0,5.0,7.0,9.0,,True,False,Fase 8 (Universitários),-1,Sem limitações,248.0,4.0,3.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-20,2022,7,D,Feminino,19.0,2022,Escola Pública,Ametista,7.535,7.1,10.0,6.3,,7.8,7.167,5.0,9.0,6.5,,True,False,Fase 8 (Universitários),-1,Não atendido,296.0,5.0,4.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-21,2022,7,D,Masculino,18.0,2022,Escola Pública,Ágata,6.945,9.6,9.2,7.5,,3.8,7.25,5.0,7.0,0.5,,True,False,Fase 8 (Universitários),-1,Não atendido,508.0,9.0,6.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,2.0
RA-22,2022,6,A,Feminino,17.0,2019,Rede Decisão,Ametista,7.474,8.3,7.4,8.1,,6.7,8.833,5.0,9.0,3.1,7.8,False,True,Fase 7 (3º EM),-1,Sem limitações,327.0,10.0,10.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,3.0
RA-23,2022,6,A,Masculino,17.0,2021,Escola Pública,Ametista,7.677,8.3,8.2,8.1,,6.7,8.556,5.0,7.2,4.7,8.2,True,True,Fase 7 (3º EM),-1,Sem limitações,243.0,8.0,8.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,3.0
RA-24,2022,6,A,Feminino,17.0,2021,Rede Decisão,Topázio,8.087,9.2,7.9,6.9,,8.6,9.111,5.0,10.0,6.3,9.7,False,True,Fase 7 (3º EM),-1,Requer avaliação,119.0,5.0,5.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,4.0
RA-25,2022,6,A,Feminino,17.0,2021,Escola Pública,Ametista,7.979,8.3,8.3,8.8,,6.9,9.667,5.0,9.2,3.8,7.7,True,True,Fase 7 (3º EM),-1,Sem limitações,147.0,6.0,6.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,3.0
RA-26,2022,6,A,Masculino,17.0,2022,Escola Pública,Topázio,8.677,9.6,8.8,10.0,,8.0,10.0,5.0,9.5,4.4,10.0,True,True,Fase 7 (3º EM),-1,Sem limitações,17.0,3.0,3.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,4.0
RA-27,2022,6,A,Masculino,17.0,2016,Rede Decisão,Ametista,7.124,0.0,7.6,8.1,,8.0,9.111,5.0,7.7,6.3,10.0,False,True,Fase 7 (3º EM),-1,Sem limitações,449.0,12.0,12.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,3.0
RA-28,2022,6,A,Feminino,17.0,2019,Escola Pública,Ágata,6.242,7.9,6.1,7.5,,5.0,6.333,5.0,8.2,1.5,5.3,False,False,Fase 7 (3º EM),-1,Requer avaliação,698.0,14.0,14.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6,6.0,2.0
RA-29,2022,6,A,Masculino,17.0,2022,Escola Pública,Quartzo,4.985,0.0,4.0,8.8,,3.7,7.611,5.0,6.3,1.1,3.8,True,False,Fase 7 (3º EM),-1,Requer avaliação,821.0,16.0,16.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,1.0
RA-30,2022,6,A,Feminino,16.0,2021,Escola Pública,Ametista,7.605,8.8,6.4,7.5,,7.5,7.333,10.0,8.5,4.4,9.7,False,False,Fase 6 (2º EM),0,Sem limitações,270.0,9.0,9.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6,6.0,3.0
RA-31,2022,6,A,Feminino,17.0,2019,Rede Decisão,Topázio,8.843,10.0,9.5,9.4,,8.0,10.0,5.0,9.0,5.7,9.3,False,True,Fase 7 (3º EM),-1,Sem limitações,9.0,2.0,2.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,4.0
RA-32,2022,6,A,Feminino,16.0,2018,Rede Decisão,Ametista,7.37,8.8,5.2,8.8,,6.1,7.944,10.0,5.7,3.6,8.9,False,False,Fase 6 (2º EM),0,Sem limitações,370.0,11.0,11.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,3.0
RA-33,2022,6,A,Feminino,17.0,2020,Escola Pública,Quartzo,4.952,0.0,4.6,7.5,,4.8,6.0,5.0,9.0,1.6,3.7,False,False,Fase 7 (3º EM),-1,Sem limitações,824.0,17.0,17.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6,6.0,1.0
RA-34,2022,6,A,Masculino,17.0,2016,Rede Decisão,Ágata,6.259,9.6,4.8,8.1,,3.8,7.278,5.0,4.7,4.0,2.8,False,False,Fase 7 (3º EM),-1,Sem limitações,692.0,13.0,13.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6,6.0,2.0
RA-35,2022,6,A,Feminino,17.0,2019,Rede Decisão,Topázio,8.965,10.0,9.6,9.4,,8.5,10.0,5.0,9.0,7.1,9.3,False,True,Fase 7 (3º EM),-1,Sem limitações,5.0,1.0,1.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,4.0
RA-36,2022,6,A,Feminino,17.0,2019,Rede Decisão,Ametista,7.876,9.2,9.0,6.9,,6.8,8.944,5.0,8.5,4.3,7.8,False,True,Fase 7 (3º EM),-1,Sem limitações,177.0,7.0,7.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,3.0
RA-37,2022,6,A,Feminino,17.0,2019,Rede Decisão,Quartzo,4.95,0.0,5.4,5.0,,5.9,5.222,5.0,2.3,5.3,10.0,False,False,Fase 7 (3º EM),-1,Sem limitações,825.0,18.0,18.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6,6.0,1.0
RA-38,2022,6,A,Feminino,17.0,2017,Rede Decisão,Topázio,8.523,9.2,8.9,7.5,,8.6,9.833,5.0,9.0,7.0,9.7,False,True,Fase 7 (3º EM),-1,Não indicado,31.0,4.0,4.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6,6.0,4.0
RA-39,2022,6,A,Feminino,16.0,2017,Rede Decisão,Ágata,6.033,0.0,4.8,6.9,,6.9,6.111,10.0,7.7,5.1,7.8,False,False,Fase 6 (2º EM),0,Requer avaliação,722.0,15.0,15.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6,6.0,2.0
RA-40,2022,5,A,Feminino,16.0,2016,Rede Decisão,Ametista,7.203,7.9,7.8,7.5,,6.8,7.75,5.0,4.7,7.3,8.4,False,False,Fase 6 (2º EM),-1,Sem limitações,429.0,27.0,3.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,3.0
RA-41,2022,5,A,Masculino,17.0,2018,Escola Pública,Quartzo,5.581,9.2,6.1,5.0,,5.6,4.375,5.0,6.3,2.5,8.0,False,False,Fase 7 (3º EM),-2,Requer avaliação,777.0,51.0,9.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,1.0
RA-42,2022,5,A,Masculino,15.0,2019,Rede Decisão,Ágata,6.72,8.3,7.9,5.6,,4.8,6.083,10.0,3.7,4.5,6.2,False,False,Fase 5 (1º EM),0,Requer avaliação,582.0,33.0,5.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,2.0
RA-43,2022,5,A,Feminino,16.0,2019,Escola Pública,Quartzo,5.486,6.3,6.5,5.6,,4.3,5.958,5.0,4.0,5.8,3.2,False,False,Fase 6 (2º EM),-1,Requer avaliação,791.0,54.0,11.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,1.0
RA-44,2022,5,A,Feminino,17.0,2021,Escola Pública,Quartzo,5.542,5.0,5.9,7.5,,3.0,7.292,5.0,2.3,3.5,3.2,True,False,Fase 7 (3º EM),-2,Sem limitações,785.0,52.0,10.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,1.0
RA-45,2022,5,A,Feminino,15.0,2019,Rede Decisão,Ametista,7.591,7.9,8.9,5.6,,6.8,7.417,10.0,6.3,5.2,8.8,False,False,Fase 5 (1º EM),0,Requer avaliação,277.0,17.0,2.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,3.0
RA-46,2022,5,A,Feminino,17.0,2022,Escola Pública,Ágata,6.048,8.8,8.4,6.3,,2.1,7.083,5.0,2.8,2.8,0.7,False,False,Fase 7 (3º EM),-2,Sem limitações,719.0,46.0,7.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,2.0
RA-47,2022,5,A,Feminino,17.0,2022,Escola Pública,Quartzo,5.677,7.9,6.3,7.5,,2.1,7.042,5.0,2.5,2.2,1.5,False,False,Fase 7 (3º EM),-2,Sem limitações,762.0,49.0,8.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,1.0
RA-48,2022,5,A,Feminino,15.0,2017,Rede Decisão,Ametista,8.006,6.7,8.4,7.5,,8.1,8.5,10.0,6.7,8.0,9.5,False,True,Fase 5 (1º EM),0,Sem limitações,140.0,10.0,1.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,3.0
RA-49,2022,5,A,Feminino,17.0,2022,Escola Pública,Ágata,6.304,7.5,7.4,7.5,,3.9,7.042,5.0,1.5,4.2,6.2,False,False,Fase 7 (3º EM),-2,Sem limitações,687.0,42.0,6.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,2.0
RA-50,2022,5,A,Feminino,18.0,2022,Escola Pública,Ametista,7.138,7.5,8.4,7.5,,7.8,7.542,2.5,6.5,7.3,9.7,False,False,Fase 8 (Universitários),-3,Sem limitações,445.0,28.0,4.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,3.0
RA-51,2022,5,B,Feminino,17.0,2022,Escola Pública,Ágata,6.488,8.8,7.6,7.5,,5.0,6.5,5.0,4.5,4.5,6.0,False,False,Fase 7 (3º EM),-2,Não atendido,645.0,39.0,13.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,2.0
RA-52,2022,5,B,Masculino,13.0,2018,Rede Decisão,Ametista,7.861,9.6,8.9,7.5,,6.2,7.5,10.0,3.3,6.3,8.8,False,False,Fase 3 (7º e 8º ano),2,Não atendido,183.0,12.0,5.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,3.0
RA-53,2022,5,B,Masculino,17.0,2022,Escola Pública,Ágata,6.725,9.2,7.0,7.5,,7.0,6.458,5.0,6.0,8.0,,False,False,Fase 7 (3º EM),-2,Não atendido,579.0,32.0,11.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,2.0
RA-54,2022,5,B,Feminino,16.0,2022,Escola Pública,Ágata,6.058,7.9,6.9,7.5,,4.8,6.125,5.0,3.0,6.5,,False,False,Fase 6 (2º EM),-1,Não atendido,716.0,45.0,14.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,2.0
RA-55,2022,5,B,Feminino,16.0,2017,Escola Pública,Ágata,6.576,7.1,7.6,5.6,,7.5,6.5,5.0,6.7,7.8,7.9,False,False,Fase 6 (2º EM),-1,Requer avaliação,634.0,38.0,12.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,2.0
RA-56,2022,5,B,Feminino,15.0,2019,Rede Decisão,Topázio,8.404,10.0,10.0,7.5,,7.0,8.25,10.0,4.5,6.5,10.0,False,False,Fase 5 (1º EM),0,Sem limitações,46.0,7.0,1.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,4.0
RA-57,2022,5,B,Masculino,16.0,2017,Rede Decisão,Ametista,7.305,7.1,8.1,5.6,,8.4,7.875,5.0,9.0,7.0,9.3,False,False,Fase 6 (2º EM),-1,Requer avaliação,388.0,25.0,10.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,3.0
RA-58,2022,5,B,Masculino,15.0,2017,Rede Decisão,Topázio,8.136,9.6,9.2,6.3,,7.2,8.125,10.0,4.5,8.0,9.0,False,False,Fase 5 (1º EM),0,Sem limitações,103.0,9.0,3.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,4.0
RA-59,2022,5,B,Masculino,17.0,2022,Escola Pública,Ametista,7.642,9.2,9.3,7.5,,7.2,7.917,5.0,7.0,5.7,8.8,False,False,Fase 7 (3º EM),-2,Não atendido,257.0,15.0,7.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,3.0
RA-60,2022,5,B,Feminino,18.0,2021,Escola Pública,Quartzo,5.537,6.7,6.0,7.5,,4.9,6.167,2.5,5.0,6.2,3.5,False,False,Fase 8 (Universitários),-3,Não atendido,787.0,53.0,16.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,1.0
RA-61,2022,5,B,Masculino,15.0,2021,Escola Pública,Ametista,7.533,9.2,7.4,7.5,,5.8,7.875,10.0,1.7,6.3,9.3,True,False,Fase 5 (1º EM),0,Não atendido,298.0,20.0,8.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,3.0
RA-62,2022,5,B,Masculino,17.0,2022,Escola Pública,Ametista,7.891,8.8,9.4,7.5,,9.3,7.25,5.0,8.5,10.0,,True,False,Fase 7 (3º EM),-2,Não atendido,173.0,11.0,4.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,3.0
RA-63,2022,5,B,Masculino,16.0,2018,Rede Decisão,Topázio,8.282,8.3,9.1,8.8,,8.7,9.417,5.0,8.2,8.2,9.7,False,True,Fase 6 (2º EM),-1,Sem limitações,64.0,8.0,2.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,4.0
RA-64,2022,5,B,Masculino,16.0,2019,Escola Pública,Ametista,7.368,7.1,8.1,8.1,,7.5,8.25,5.0,4.8,8.2,9.4,True,False,Fase 6 (2º EM),-1,Sem limitações,372.0,23.0,9.0,3.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,3.0
RA-65,2022,5,B,Feminino,17.0,2022,Escola Pública,Ametista,7.712,8.3,7.7,7.5,,9.3,7.875,5.0,9.0,9.5,9.5,True,False,Fase 7 (3º EM),-2,Não atendido,232.0,13.0,6.0,3.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5,5.0,3.0
RA-66,2022,5,B,Feminino,17.0,2022,Escola Pública,Quartzo,5.665,7.5,5.6,7.5,,4.5,5.917,5.0,3.0,6.0,,False,False,Fase 7 (3º EM),-2,Não atendido,768.0,50.0,15.0,3.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5,5.0,1.0
